NAME,MSTAR,A,PER,ECC,MASS,R
,msun,au,day,,mjupiter,rjupiter
HD 217786 b,1.02,2.3791,1319,0.4,13.1868,
Kepler-363 c,,0.0752686,7.542427,,0.0125062,0.150772
Kepler-687 b,0.77,0.134386,20.50586978,0,0.0377408,0.314
Kepler-1457 b,1.01,0.270431,51.1110243,0,0.0147338,0.178
Kepler-567 b,0.84,0.119888,16.54297375,0,0.0170154,0.201
Kepler-1453 b,0.97,0.252883,47.1611696,0,0.021778,0.238
Kepler-24 d,,0.0513038,4.244384,,0.0123736,0.148987
HD 32518 b,1.13,0.595162,157.54,0.01,3.34549,
Kepler-980 b,1.05,0.101644,11.55102504,0,0.021778,0.238
Kepler-472 b,0.85,0.048077,4.17625551,0,0.0309268,0.287
Kepler-402 c,,0.0655142,6.124821,,0.0116666,0.139174
Kepler-435 b,1.538,0.0948432,8.6001536,0.114,0.84,1.99
WASP-18 b,1.22,0.0201401,0.9414529,0.00848,10.2006,1.267
CoRoT-6 b,1.05,0.0854177,8.886593,0,2.95364,1.166
Kepler-127 c,,0.186396,29.393195,,0.0216742,0.237309
Kepler-839 b,1.22,0.235594,37.8144514,0,0.020474,0.229
Kepler-203 c,,0.0600193,5.370647,,0.019315,0.220359
Kepler-1234 b,0.8,0.0949095,11.94014029,0,0.0238504,0.251
Kepler-1127 b,0.97,0.0575745,5.12330347,0,0.0144664,0.175
Kepler-732 c,0.49,0.0143082,0.89304124,0,0.00668223,0.113
HD 73267 b,0.89,2.19849,1260,0.256,3.06257,
HD 147513 b,1.072,1.30958,528.40002,0.26,1.17965,
Kepler-1528 b,1.03,0.0291497,1.79111021,0,0.0107116,0.13
Kepler-893 b,1,0.0670296,6.33855761,0,0.027323,0.27
Kepler-1387 b,0.82,0.0317279,2.27952666,0,0.00225358,0.083
Kepler-1062 b,0.75,0.0786582,9.30412078,0,0.0129801,0.157
HD 72659 b,1.068,4.75375,3658,0.22,3.1741,
BD +14 4559 b,0.86,0.775866,268.94,0.29,1.51929,
HD 1605 b,1.31,1.48605,577.9,0.078,0.96903,
Kepler-79 b,1.1,0.114456,13.485,0.015,0.0343,0.316
Kepler-202 b,,0.0498841,4.069427,,0.0121124,0.145419
Kepler-709 b,0.8,0.115768,16.08524954,0,0.0256089,0.261
HD 197037 b,1.11,2.07477,1035.7,0.22,0.807324,
HD 70642 b,1.002,3.18072,2068,0.034,1.90944,
KELT-2 A b,1.308,0.0549707,4.1137912,0,1.52064,1.286
Kepler-10 b,0.895,0.0167573,0.837495,0,0.0142824,0.126327
Kepler-208 e,,0.125606,16.259458,,0.0112762,0.132037
Kepler-1365 b,1,0.0763129,7.69993485,0,0.00215846,0.082
Kepler-270 c,,0.168498,25.262887,,0.0130508,0.157909
Kepler-966 b,1.02,0.423716,99.747622,0,0.0557908,0.368
Kepler-1010 b,0.86,0.196353,34.2685705,0,0.0176872,0.207
Kepler-811 b,1.01,0.161485,23.58447697,0,0.0222358,0.241
Kepler-225 c,,0.138343,18.794234,,0.0135483,0.164154
Kepler-1305 b,0.97,0.11018,13.5630972,0,0.0138656,0.168
Kepler-150 d,,0.105752,12.56093,,0.0235009,0.248907
Kepler-1322 b,0.9,0.0184246,0.96286738,0,0.0120099,0.144
Kepler-405 b,,0.0945195,10.613839,,0.015437,0.185565
Kepler-208 b,,0.0511769,4.22864,,0.0121124,0.145419
M 67 YBP 1194 b,1.01,0.0715732,6.958,0.24,0.346328,
Kepler-1084 b,1.12,0.0328337,2.05333679,0,0.00422224,0.099
Kepler-616 b,0.98,0.0902152,9.99761851,0,0.0188877,0.217
Kepler-325 d,,0.223972,38.715185,,0.0235009,0.248907
Kepler-1065 c,0.94,0.0340815,2.37030743,0,0.0119381,0.143
Kepler-1464 c,1.02,0.0600955,5.32786292,0,0.00289089,0.089
Kepler-340 c,,0.157474,22.824669,,0.0341953,0.300651
Kepler-682 b,0.92,0.103131,12.61190667,0,0.164047,0.658
Kepler-507 b,1.16,0.0480157,3.56809693,0,0.00730709,0.116
HD 40307 c,0.74,0.0800702,9.62,0,0.0211468,
HD 142 b,1.232,1.04292,350.3,0.26,1.3057,
Kepler-257 b,,0.0349126,2.382667,,0.0210192,0.232849
Kepler-976 b,0.87,0.418342,105.9564148,0,0.0503054,0.353
WASP-10 b,0.79,0.0384536,3.0927616,0.0507142,3.19144,1.08
Kepler-982 b,1.16,0.129335,15.7738221,0,0.0170154,0.201
GJ 328 b,0.69,4.43476,4100,0.37,2.3,
WASP-17 b,1.19,0.0499354,3.735433,0,0.508547,1.932
HAT-P-17 b,0.857,0.0882385,10.338523,0.346,0.530158,1.01
Kepler-162 b,,0.0710671,6.919798,,0.00656354,0.11241
Kepler-487 c,0.91,0.216804,38.6519976,0,0.0219292,0.239
HD 67087 b,1.36,1.08217,352.2,0.17,3.09805,
Kepler-293 c,,0.280136,54.155743,,0.0463015,0.34169
HD 102329 b,1.3,1.80892,778.1,0.211,4.47808,
Kepler-872 b,1.05,0.0374071,2.57885507,0,0.0147338,0.178
Kepler-1542 d,0.94,0.0632508,5.99273738,0,0.0018073,0.078
HD 159868 b,1.16,2.29553,1178.4,0.01,2.20004,
K2-21 b,0.64,0.0747146,9.32414,,0.011856,0.14185
Kepler-424 b,1.01,0.0436419,3.3118644,0.002,0.770225,0.89
Kepler-262 c,,0.152976,21.853722,,0.0121773,0.146311
WASP-117 b,1.126,0.0946483,10.02165,0.302,0.2755,1.021
WASP-75 b,1.14,0.0375112,2.484193,0,1.07,1.27
Kepler-1293 b,1.18,0.0650345,5.57654784,0,0.00266535,0.087
Kepler-222 b,,0.0487958,3.936981,,0.0297967,0.281916
Kepler-334 b,,0.0607596,5.470319,,0.00436179,0.0999197
HD 114783 b,0.853,1.15987,493.7,0.144,1.10505,
GJ 581 e,0.31,0.028459,3.14945,0.32,0.00613456,
Kepler-1638 b,0.97,0.787843,259.33683,0,0.0137822,0.167
Kepler-605 b,0.91,0.0427433,3.38353807,0,0.0101747,0.128
Kepler-327 c,,0.0588339,5.212333,,0.00324127,0.0918904
Kepler-793 b,0.98,0.0509367,4.24153639,0,0.00866602,0.122
Kepler-1555 b,1.04,0.0800056,8.10501635,0,0.0120099,0.144
Kepler-419 b,1.39,0.370106,69.7546,0.833,2.5,
epsilon Ret b,1.24,1.19471,428.1,0.06,1.37669,
GJ 674 b,0.35,0.0386657,4.6938,0.2,0.034879,
Kepler-511 b,1,0.870478,296.637865,0,0.108498,0.567
Kepler-1361 b,0.83,0.0430059,3.57554956,0,0.00172655,0.077
HD 7924 c,0.832,0.113438,15.299,0.098,0.0248402,
Kepler-57 c,0.83,0.0942979,11.6092567,,0.0115953,0.138158
HD 168443 c,0.995,2.85281,1749.83,0.2113,17.3857,
Kepler-172 c,,0.0673847,6.388996,,0.0245625,0.255152
Kepler-1350 b,0.55,0.0436851,4.4968604,0,0.0199266,0.225
WASP-70 A b,1.106,0.0485382,3.7130203,0,0.590076,1.164
Kepler-933 b,0.87,0.109579,14.20443009,0,0.0191406,0.219
Kepler-1406 b,1.05,0.102102,11.62905828,0,0.00407386,0.098
Kepler-1530 b,0.92,0.035902,2.5904434,0,0.0121546,0.146
Kepler-400 c,,0.131115,17.340824,,0.0115291,0.132929
Kepler-220 e,,0.250899,45.902733,,0.00789025,0.118655
Kepler-1111 b,1.1,0.0860862,8.79617863,0,0.0147338,0.178
WASP-57 b,0.954,0.0386362,2.838971,0,0.675887,0.916
HAT-P-37 b,0.929,0.0379273,2.79736,0.058,1.17362,1.178
Kepler-198 c,,0.264081,49.567416,,0.019315,0.220359
Kepler-1166 b,0.9,0.195344,33.2406882,0,0.0125233,0.151
Kepler-458 c,0.98,0.146743,20.74028413,0,0.057999,0.375
Kepler-1605 b,0.86,0.361924,85.7565495,0,0.00378747,0.096
Kepler-1222 b,0.84,0.0284953,1.91694425,0,0.00123338,0.07
Kepler-1635 b,0.89,1.13739,469.63111,0,0.0409391,0.325
Kepler-615 b,0.73,0.0837217,10.35584657,0,0.0128259,0.155
Kepler-249 b,,0.0434366,3.306539,,0.00396389,0.0972433
WASP-106 b,1.092,0.089107,9.289715,0,1.925,1.085
HD 81040 b,0.96,1.9372,1001.7,0.526,6.87654,
HD 208527 b,1.6,2.099,875.5,0.08,10.014,
Kepler-165 b,,0.0794582,8.180848,,0.0176845,0.206977
Kepler-28 b,0.75,0.0581375,5.91213,0,0.0397121,0.320884
Kepler-118 c,,0.145024,20.17202,,0.184717,0.685164
Kepler-1216 b,0.99,0.0521389,4.37034536,0,0.00915206,0.124
HAT-P-32 b,1.16,0.0342627,2.150008,0,0.861516,1.789
GJ 163 c,0.4,0.125354,25.63058,0.099,0.0215524,
HD 95089 b,1.38,1.38575,507,0.157,1.12925,
XO-3 b,1.41,0.0477112,3.1915426,0.2884,13.2849,1.217
Kepler-1380 b,0.96,0.0914589,10.3108245,0,0.0101747,0.128
Kepler-478 b,0.85,0.103659,13.2217576,0,0.0223911,0.242
HD 114729 b,0.998,2.10235,1114,0.167,0.944758,
Kepler-122 e,,0.221179,37.993273,,0.0208911,0.231956
Kepler-634 b,1.03,0.0590906,5.16950177,0,0.0139495,0.169
Kepler-881 b,1.06,0.0539414,4.44448017,0,0.0131362,0.159
Kepler-103 c,1.09,0.64119,179.612,0,0.0877632,0.458519
Kepler-997 b,1.22,0.0406211,2.70730672,0,0.00842926,0.121
Kepler-1503 b,0.77,0.376527,96.16987,0,0.0172355,0.203
HD 100655 b,1.71,0.682908,157.57,0.085,1.33352,
Kepler-400 b,,0.0848304,9.024389,,0.0122424,0.147203
Kepler-106 c,1,0.111348,13.5708,0,0.0328478,0.223015
Kepler-113 b,0.75,0.0502736,4.754,0,0.013404,0.16237
Kepler-1178 b,0.8,0.182381,31.80634,0,0.00364938,0.095
Kepler-595 b,0.87,0.161025,25.30292332,0,0.0457295,0.34
HD 142415 b,1.065,1.06061,386.29999,0.5,1.66194,
Kepler-1359 b,0.78,0.274559,59.4970952,0,0.0240196,0.252
Kepler-785 b,0.77,0.0282249,1.97376093,0,1,1.162
CoRoT-9 b,0.99,0.406991,95.2738,0.11,0.843564,1.05
HD 114386 b,0.78,1.72685,937.70001,0.23,1.3637,
HD 103197 b,0.9,0.249018,47.84,0,0.0982431,
Kepler-698 b,0.94,0.123396,16.32976218,0,0.0418568,0.328
Kepler-1022 b,0.71,0.0863273,10.99469878,0,0.0181548,0.211
7 CMa b,1.34,1.80264,763,0.14,2.43233,
K2-3 b,0.601,0.0769351,10.05403,,0.0163773,0.195
Kepler-368 b,,0.175473,26.84768,,0.0318107,0.290838
Kepler-913 b,0.63,0.0794059,10.29672521,0,0.015288,0.184
Kepler-1224 b,1.18,0.116229,13.32351601,0,0.00796813,0.119
Kepler-335 b,,0.0685981,6.562331,,0.0346488,0.302436
WASP-16 b,1,0.0417858,3.1186009,0,0.842294,1.008
Kepler-316 b,,0.0335097,2.240508,,0.00359062,0.0945669
HD 152581 b,0.927,1.48938,689,0,1.51375,
KIC 11442793 h,1.2,0.996347,331.60059,,0.937417,1.01
Kepler-103 b,1.09,0.127704,15.9654,0,0.0305195,0.300624
Kepler-1426 b,1.02,0.115827,14.2563227,0,0.0116544,0.139
Kepler-993 b,0.57,0.127733,22.08557563,0,0.0263549,0.265
Kepler-338 b,,0.112199,13.726976,,0.0189734,0.217682
Kepler-1588 b,0.96,0.0762521,7.84931739,0,0.00111394,0.068
Kepler-985 b,0.91,0.451946,116.331901,0,0.0265453,0.266
Kepler-974 b,0.52,0.0409318,4.19449651,0,0.0117248,0.14
Kepler-1248 b,1.21,0.0796726,7.46725407,0,0.00518721,0.105
Kepler-129 b,,0.123186,15.79186,,0.0182069,0.211437
Kepler-1331 b,0.72,0.0149794,0.78916165,0,0.00351465,0.094
PH-1 b,1.734,0.629412,138.506,0.0539,0.100437,0.550851
Kepler-306 d,,0.131044,17.326644,,0.019315,0.220359
Kepler-37 d,0.803,0.212021,39.792187,0.102489,0.00577478,0.178
Kepler-856 b,0.96,0.0774029,8.02768059,0,0.564251,0.83
HD 13908 c,1.29,2.03386,931,0.12,5.13,
HD 125595 b,0.756,0.0809437,9.6737,0,0.0416764,
Kepler-1499 b,0.82,0.228998,44.2008,0,0.0053608,0.106
WASP-79 b,1.52,0.0534741,3.6623817,0,0.887514,1.7
Kepler-1470 b,0.8,0.116773,16.2950903,0,0.00364938,0.095
Kepler-107 b,,0.0423212,3.179997,,0.0116666,0.139174
Kepler-1040 b,0.98,0.667299,201.1214,0,0.0154788,0.186
Kepler-1542 c,0.94,0.0389169,2.89223021,0,0.000639382,0.058
Kepler-109 c,1.04,0.151991,21.2227,0,0.0199023,0.224819
HIP 57274 c,0.73,0.177758,32.03,0.05,0.410096,
Kepler-30 d,0.99,0.534239,143.343,0.022,0.0726872,0.784384
Kepler-1349 b,1.16,0.034023,2.12823928,0,0.000806332,0.062
Kepler-877 b,0.85,0.129482,18.45847097,0,0.0157709,0.189
Kepler-720 b,0.95,0.0540454,4.70832654,0,0.381266,0.75
Kepler-932 b,0.87,0.0288756,1.9214374,0,0.00866602,0.122
Kepler-1628 b,0.55,0.288651,76.378033,0,0.112141,0.574
Kepler-158 c,,0.18282,28.551383,,0.0139923,0.169507
Kepler-858 b,0.96,0.346809,76.13602028,0,0.0783692,0.434
Kepler-777 b,0.58,0.0522506,5.72812599,0,0.0109866,0.131
HD 93083 b,0.7,0.476549,143.58,0.14,0.368176,
Kepler-970 b,0.7,0.113697,16.73652231,0,0.0231879,0.247
HD 31253 b,1.23,1.26054,466,0.3,0.501427,
Kepler-1579 b,0.75,0.0159542,0.84990789,0,0.00157306,0.075
Kepler-191 d,0.85,0.0608391,5.94504102,0,0.0172355,0.203
Kepler-357 c,,0.128672,16.85837,,0.0218083,0.238201
Kepler-861 b,0.82,0.0457701,3.94963138,0,0.0172355,0.203
Kepler-1258 b,0.99,0.0193089,0.98494017,0,0.00172655,0.077
TRAPPIST-1 c,0.08,0.0152078,2.421848,,0.00337211,0.0929141
Kepler-552 b,1.03,0.0598041,5.26341577,0,0.0499388,0.352
HD 89744 b,1.48,0.902604,256.78,0.673,8.18778,
Kepler-1441 b,1,0.226767,39.4419839,0,0.00752338,0.117
Kepler-1341 b,0.79,0.471386,132.9968322,0,0.0267373,0.267
Kepler-738 b,0.86,0.157366,24.58721573,0,0.01966,0.223
HD 183263 c,1.121,4.29488,3066,0.23873,3.47646,
WASP-42 b,0.881,0.0547344,4.9816877,0,0.496968,1.063
Kepler-1612 b,0.96,0.047981,3.91795101,0,0.00325512,0.092
